time,pos_x,pos_y,pos_z,steering_angle,speed,cte,lap,sector,next_cte,image_filename,segmentation_filename,predicted_steering_angle,predicted_throttle
1724414544823,176.0,1.658201,110.0,0.0,12.5841312,0.1075365,1,1,0.3712322,image_00000001724414544823.jpg,segmentation_00000001724414544823.png,0.030888212844729424,0.2345558935776353
1724414546005,175.9999,1.719354,110.0003,0.0,0.00048566844000000006,0.107486,1,1,0.1074984,image_00000001724414546005.jpg,segmentation_00000001724414546005.png,-0.0194261372089386,0.2402869313955307
1724414546125,175.9999,1.719318,110.0003,-0.0194261372089386,0.0012720186,0.107486,1,1,0.1074984,image_00000001724414546125.jpg,segmentation_00000001724414546125.png,-0.028723912313580513,0.23563804384320974
1724414546224,175.9999,1.719301,110.0003,-0.028723912313580513,0.000164326824,0.107486,1,1,0.1074984,image_00000001724414546224.jpg,segmentation_00000001724414546224.png,-0.04418834298849106,0.22790582850575447
1724414546332,175.9956,1.719285,110.0069,-0.04418834298849106,0.49535208,0.1056146,1,1,0.1024306,image_00000001724414546332.jpg,segmentation_00000001724414546332.png,-0.024388764053583145,0.23780561797320843
1724414546436,175.9851,1.719233,110.0233,-0.024388764053583145,0.88388712,0.1009868,1,1,0.09543213,image_00000001724414546436.jpg,segmentation_00000001724414546436.png,-0.06690815091133118,0.2165459245443344
1724414546532,175.9675,1.71918,110.0502,-0.06690815091133118,1.33652232,0.09342153,1,1,0.08538535,image_00000001724414546532.jpg,segmentation_00000001724414546532.png,0.010445384308695793,0.2447773078456521
1724414546613,175.9438,1.719139,110.087,0.010445384308695793,1.7715070800000001,0.08371357,1,1,0.07361628,image_00000001724414546613.jpg,segmentation_00000001724414546613.png,0.041970644146203995,0.229014677926898
1724414546740,175.9134,1.719097,110.1333,0.041970644146203995,2.16312192,0.07156409,1,1,0.06012854,image_00000001724414546740.jpg,segmentation_00000001724414546740.png,0.051610883325338364,0.22419455833733082
1724414546820,175.8773,1.719053,110.1901,0.051610883325338364,2.60210052,0.05881594,1,1,0.04636854,image_00000001724414546820.jpg,segmentation_00000001724414546820.png,0.08897385001182556,0.20551307499408722
